Symbol,Name,Market Cap,Sector,Industry
PEGA,Pegasystems Inc. Common Stock,10380245408,Technology,EDP Services
PEP,PepsiCo Inc. Common Stock,2.0387E+11,Consumer Staples,Beverages (Production/Distribution)
PFG,Principal Financial Group Inc Common Stock,19854831061,Finance,Accident &Health Insurance
PLTR,Palantir Technologies Inc. Class A Common Stock,4.48765E+11,Technology,Computer Software: Prepackaged Software
PODD,Insulet Corporation Common Stock,20751631441,Health Care,Medical/Dental Instruments
PSKY,Paramount Skydance Corporation Class B Common Stock,16304807920,Industrials,Broadcasting
PTC,PTC Inc. Common Stock,20858055336,Technology,Computer Software: Prepackaged Software
PYPL,PayPal Holdings Inc. Common Stock,57313360381,Industrials,Diversified Commercial Services
QCOM,QUALCOMM Incorporated Common Stock,1.95526E+11,Technology,Radio And Television Broadcasting And Communications Equipment
REG,Regency Centers Corporation Common Stock,12292774731,Real Estate,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,76457758071,Health Care,Biotechnology: Pharmaceutical Preparations
RGLD,Royal Gold Inc. Common Stock,17638773177,Industrials,Precious Metals
RIVN,Rivian Automotive Inc. Class A Common Stock,21772216922,Industrials,Auto Manufacturing
RKLB,Rocket Lab Corporation Common Stock,30788771034,Industrials,Military/Government/Technical
RMBS,Rambus Inc. Common Stock,11536864754,Technology,Semiconductors
RNA,Avidity Biosciences Inc. Common Stock,10749207434,Health Care,Biotechnology: Pharmaceutical Preparations
ROKU,Roku Inc. Class A Common Stock,15602587018,Telecommunications,Cable & Other Pay Television Services
ROP,Roper Technologies Inc. Common Stock,47630639149,Technology,Computer Software: Programming Data Processing
ROST,Ross Stores Inc. Common Stock,59044828592,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,22174601880,Health Care,Biotechnology: Pharmaceutical Preparations
RVMD,Revolution Medicines Inc. Common Stock,15115675553,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SAIL,SailPoint Inc. Common Stock,11761703720,Technology,Computer Software: Prepackaged Software
SATS,EchoStar  Corporation Common Stock,29895955313,Consumer Discretionary,Telecommunications Equipment
SBAC,SBA Communications Corporation Class A Common Stock,20203416921,Real Estate,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,95328778500,Consumer Discretionary,Restaurants
SEIC,SEI Investments Company Common Stock,10186958912,Finance,Investment Bankers/Brokers/Service
SMCI,Super Micro Computer Inc. Common Stock,20837277397,Technology,Computer Manufacturing
SMMT,Summit Therapeutics Inc. Common Stock ,13370187982,Health Care,Biotechnology: Pharmaceutical Preparations
SNDK,Sandisk Corporation Common Stock,34177666875,Technology,Electronic Components
SNPS,Synopsys Inc. Common Stock,88510542925,Technology,Computer Software: Prepackaged Software
SOFI,SoFi Technologies Inc. Common Stock  ,34273113267,Finance,Finance: Consumer Services
SSNC,SS&C Technologies Holdings Inc. Common Stock,20937551177,Technology,Computer Software: Prepackaged Software
STLD,Steel Dynamics Inc.,25069804245,Industrials,Steel/Iron Ore
STRL,Sterling Infrastructure Inc. Common Stock,10242453346,Industrials,Military/Government/Technical
SWKS,Skyworks Solutions Inc. Common Stock,10357180772,Technology,Semiconductors
SYM,Symbotic Inc. Class A Common Stock,36021587567,Industrials,Industrial Machinery/Components
TEM,Tempus AI Inc. Class A Common Stock,13359056078,Technology,Computer Software: Programming Data Processing
TER,Teradyne Inc. Common Stock,31985679805,Industrials,Electrical Products
TLN,Talen Energy Corporation Common Stock,16489194003,Utilities,Electric Utilities: Central
TMUS,T-Mobile US Inc. Common Stock,2.18584E+11,Telecommunications,Telecommunications Equipment
TPG,TPG Inc. Class A Common Stock,25621826129,Finance,Investment Managers
TRI,Thomson Reuters Corporation Common Shares,57740554813,Consumer Discretionary,Publishing
TRMB,Trimble Inc. Common Stock,19621341736,Industrials,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,22659547710,Finance,Investment Bankers/Brokers/Service
TSCO,Tractor Supply Company Common Stock,27934056050,Consumer Discretionary,RETAIL: Building Materials
TSLA,Tesla Inc. Common Stock,1.51385E+12,Industrials,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,19073658587,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,45558144924,Consumer Discretionary,Services-Misc. Amusement & Recreation
TW,Tradeweb Markets Inc. Class A Common Stock,25151841241,Finance,Investment Bankers/Brokers/Service
TXN,Texas Instruments Incorporated Common Stock,1.65388E+11,Technology,Semiconductors
TXRH,Texas Roadhouse Inc. Common Stock,10996124173,Consumer Discretionary,Restaurants
UAL,United Airlines Holdings Inc. Common Stock,34816402027,Consumer Discretionary,Air Freight/Delivery Services
ULTA,Ulta Beauty Inc. Common Stock,26664992535,Consumer Discretionary,Other Specialty Stores
UTHR,United Therapeutics Corporation Common Stock,20886110326,Health Care,Biotechnology: Pharmaceutical Preparations
VNOM,Viper Energy Inc. Class A Common Stock,14703920022,Energy,Oil & Gas Production
VRSK,Verisk Analytics Inc. Common Stock,29853604494,Industrials,Diversified Commercial Services
VRSN,VeriSign Inc. Common Stock,22453794000,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,1.12938E+11,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,13372048214,Health Care,Biotechnology: Pharmaceutical Preparations
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,73013518908,Consumer Discretionary,Services-Misc. Amusement & Recreation
WDAY,Workday Inc. Class A Common Stock,58591140000,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,62020529573,Technology,Electronic Components
WMG,Warner Music Group Corp. Class A Common Stock,14569821316,Consumer Discretionary,Services-Misc. Amusement & Recreation
WMT,Walmart Inc. Common Stock,9.03578E+11,Consumer Discretionary,Department/Specialty Retail Stores
WWD,Woodward Inc. Common Stock,17366492923,Energy,Industrial Machinery/Components
WYNN,Wynn Resorts Limited Common stock,12864762287,Consumer Discretionary,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,44279709708,Utilities,Power Generation
Z,Zillow Group Inc. Class C Capital Stock,18227622692,Real Estate,Real Estate
ZBRA,Zebra Technologies Corporation Class A Common Stock,13759575028,Industrials,Industrial Machinery/Components
ZG,Zillow Group Inc. Class A Common Stock,17676957509,Real Estate,Real Estate
ZM,Zoom Communications Inc. Class A Common Stock,26079092845,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,38882269935,Technology,EDP Services
